file_name,text
access-data-source-admin.png,the data source administrator is the software that is used to manage the data.
access-macros.png,this is a screenshot of the windows page.
bitbucket-create-repository.png,a screenshot of the website.
blender-editor.jpg,a screenshot of a video production in motion.
blender-editor2.png,a screenshot of the base of a triangle
excel-advanced-filter.png,a screenshot of a cell phone description generated with very high confidence
excel-convert-dialog.jpeg,a screenshot of a text box description generated with very high confidence
excel-filters.png,a screenshot of the text editor
excel-menu.png,a screenshot of the book - excel app.
excel-old.jpg,this is a screenshot of the data table.
excel-pivottable-dialog.jpg,a screenshot of the pivot table.
excel-pivottable-empty.jpg,a screenshot of a table in a spreadsheet.
excel-spreadsheet-small.png,a screenshot of a cell phone description generated with very high confidence
excel-spreadsheet.png,a screenshot of a spreadsheet with the list of documents in the list.
gimp-editor-old.png,a screenshot of the windows software.
gimp-editor.png,the logo is in black and grey.
gmail-message.png,a screenshot of a cell phone description generated with very high confidence
hue-hiveql-editor.png,a screenshot of the website.
jira-kanban.jpg,a screenshot of the software's user interface
krita-brust-editor.png,a screenshot of the text editor.
libreoffice-base-wizard.png,a screenshot of the table settings settings.
libreoffice-editor.jpg,a screenshot of a computer screen
lives-editor.jpg,the video editor is a video editor that uses a video editor to create a video editor.
oracle-fusion.jpg,a screenshot of a computer description generated with very high confidence
outlook-export-dialog.png,a screenshot of the microsoft wordpress.
outlook-export-dialog2.png,a screenshot of the export wizard
outlook-task.jpg,a screenshot of the software in the workflow.
powerpoint-editor.jpg,a screenshot of a laptop computer description automatically generated
sap-crm.JPG,a screenshot of the software
sap-login.png,a screenshot of the sap password window.
sap-new-entries.jpeg,a screenshot of the entry number of entries
sap-save-dialog.png,save as the sap as screenshot
shotcut-editor.jpg,the best editing software for mac
superset-dashboard.png,a screenshot of the growth rate dashboard
superset-dashboard2.png,a screenshot of a cell phone description generated with very high confidence
thunderbird-calendar.png,a screenshot of a calendar showing the date of the day.
thunderbird-inbox.png,a screenshot of a computer screen with the text box open.
thunderbird-inbox2.png,a screenshot of the edit menu.
ubuntu-windows-3-11-emulator.png,a screenshot of the windows 10
vscode-editor-dark.png,a screenshot of a computer with the code
vscode-editor-light.jpg,a screenshot of a computer description generated with very high confidence
windows-default-application-dialog.png,a screenshot of the windows default application
windows-registry-editor.jpg,a screenshot of the software.
windows-settings-apps-features.png,a screenshot of the app's settings settings.
windows-settings.png,a screenshot of the windows settings menu.
windows-start-menu.png,a screenshot of the power and sleep settings settings settings menu.
word-editor-2.jpg,a screenshot of a computer description generated with very high confidence
word-editor-macos.png,a screenshot of a text page
word-editor-multicolumn.jpg,a screenshot of the new zealand mirror
word-editor-old.jpg,a screenshot of the power tool for the wheel and wheel.
word-editor.jpg,a screenshot of a computer screen with the words ` ` the sound of music''
